Scenario,Year,t_init,PV
AllTraits,2020,0,-12537807.84
AllTraits,2021,1,3401948.583
AllTraits,2022,2,3977498.729
AllTraits,2023,3,3977498.729
AllTraits,2024,4,3977498.729
AllTraits,2025,5,3977498.729
AllTraits,2026,6,3977498.729
AllTraits,2027,7,3977498.729
AllTraits,2028,8,3977498.729
AllTraits,2029,9,3977498.729
AllTraits,2030,10,3977498.729
AllTraits,2031,11,3977498.729
AllTraits,2032,12,3977498.729
AllTraits,2033,13,3977498.729
AllTraits,2034,14,3977498.729
AllTraits,2035,15,3977498.729
AllTraits,2036,16,3977498.729
AllTraits,2037,17,3977498.729
AllTraits,2038,18,3977498.729
AllTraits,2039,19,3977498.729
AllTraits,2040,20,3977498.729
AllTraits,2041,21,3977498.729
AllTraits,2042,22,3977498.729
AllTraits,2043,23,3977498.729
AllTraits,2044,24,3977498.729
AllTraits,2045,25,3977498.729
AllTraits,2046,26,3977498.729
AllTraits,2047,27,3977498.729
AllTraits,2048,28,3977498.729
AllTraits,2049,29,3977498.729
AllTraits,2050,30,4553048.876
Price125,2020,0,-12537807.84
Price125,2021,1,2068443.29
Price125,2022,2,2646978.206
Price125,2023,3,2646978.206
Price125,2024,4,2646978.206
Price125,2025,5,2646978.206
Price125,2026,6,2646978.206
Price125,2027,7,2646978.206
Price125,2028,8,2646978.206
Price125,2029,9,2646978.206
Price125,2030,10,2646978.206
Price125,2031,11,2646978.206
Price125,2032,12,2646978.206
Price125,2033,13,2646978.206
Price125,2034,14,2646978.206
Price125,2035,15,2646978.206
Price125,2036,16,2646978.206
Price125,2037,17,2646978.206
Price125,2038,18,2646978.206
Price125,2039,19,2646978.206
Price125,2040,20,2646978.206
Price125,2041,21,2646978.206
Price125,2042,22,2646978.206
Price125,2043,23,2646978.206
Price125,2044,24,2646978.206
Price125,2045,25,2646978.206
Price125,2046,26,2646978.206
Price125,2047,27,2646978.206
Price125,2048,28,2646978.206
Price125,2049,29,2646978.206
Price125,2050,30,3225513.123
Price175,2020,0,-12537807.84
Price175,2021,1,2420342.239
Price175,2022,2,2998877.155
Price175,2023,3,2998877.155
Price175,2024,4,2998877.155
Price175,2025,5,2998877.155
Price175,2026,6,2998877.155
Price175,2027,7,2998877.155
Price175,2028,8,2998877.155
Price175,2029,9,2998877.155
Price175,2030,10,2998877.155
Price175,2031,11,2998877.155
Price175,2032,12,2998877.155
Price175,2033,13,2998877.155
Price175,2034,14,2998877.155
Price175,2035,15,2998877.155
Price175,2036,16,2998877.155
Price175,2037,17,2998877.155
Price175,2038,18,2998877.155
Price175,2039,19,2998877.155
Price175,2040,20,2998877.155
Price175,2041,21,2998877.155
Price175,2042,22,2998877.155
Price175,2043,23,2998877.155
Price175,2044,24,2998877.155
Price175,2045,25,2998877.155
Price175,2046,26,2998877.155
Price175,2047,27,2998877.155
Price175,2048,28,2998877.155
Price175,2049,29,2998877.155
Price175,2050,30,3577412.072
Mort125,2020,0,-12537807.84
Mort125,2021,1,1245291.607
Mort125,2022,2,1825177.629
Mort125,2023,3,1825177.629
Mort125,2024,4,1825177.629
Mort125,2025,5,1825177.629
Mort125,2026,6,1825177.629
Mort125,2027,7,1825177.629
Mort125,2028,8,1825177.629
Mort125,2029,9,1825177.629
Mort125,2030,10,1825177.629
Mort125,2031,11,1825177.629
Mort125,2032,12,1825177.629
Mort125,2033,13,1825177.629
Mort125,2034,14,1825177.629
Mort125,2035,15,1825177.629
Mort125,2036,16,1825177.629
Mort125,2037,17,1825177.629
Mort125,2038,18,1825177.629
Mort125,2039,19,1825177.629
Mort125,2040,20,1825177.629
Mort125,2041,21,1825177.629
Mort125,2042,22,1825177.629
Mort125,2043,23,1825177.629
Mort125,2044,24,1825177.629
Mort125,2045,25,1825177.629
Mort125,2046,26,1825177.629
Mort125,2047,27,1825177.629
Mort125,2048,28,1825177.629
Mort125,2049,29,1825177.629
Mort125,2050,30,2405063.651
Mort75,2020,0,-12537807.84
Mort75,2021,1,1360611.416
Mort75,2022,2,1943216.243
Mort75,2023,3,1943216.243
Mort75,2024,4,1943216.243
Mort75,2025,5,1943216.243
Mort75,2026,6,1943216.243
Mort75,2027,7,1943216.243
Mort75,2028,8,1943216.243
Mort75,2029,9,1943216.243
Mort75,2030,10,1943216.243
Mort75,2031,11,1943216.243
Mort75,2032,12,1943216.243
Mort75,2033,13,1943216.243
Mort75,2034,14,1943216.243
Mort75,2035,15,1943216.243
Mort75,2036,16,1943216.243
Mort75,2037,17,1943216.243
Mort75,2038,18,1943216.243
Mort75,2039,19,1943216.243
Mort75,2040,20,1943216.243
Mort75,2041,21,1943216.243
Mort75,2042,22,1943216.243
Mort75,2043,23,1943216.243
Mort75,2044,24,1943216.243
Mort75,2045,25,1943216.243
Mort75,2046,26,1943216.243
Mort75,2047,27,1943216.243
Mort75,2048,28,1943216.243
Mort75,2049,29,1943216.243
Mort75,2050,30,2525821.07