Year,Total Net Profit,t_init
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,-9200,0
2019,-9200,1
2020,674827,2
2021,699147,3
2022,702479,4
2023,815216,5
2024,824134,6
2025,837864,7
2026,843375,8
2027,850331,9
2028,866991,10
2029,886112,11
2030,876637,12
2031,911103,13
2032,912863,14
2033,922652,15
2034,948727,16
2035,925102,17
2036,950037,18
2037,952857,19
2038,968337,20
2039,969551,21
2040,987937,22
2041,998176,23
2042,1005973,24
2043,1015666,25
2044,997338,26
2045,1011443,27
2046,1010826,28
2047,1008026,29
2048,1036925,30
2049,1034229,31
2050,1026060,32