Year,HatchRelease,Catchability
2014,280425.5834,0
2015,319102.1397,0
2016,312163.5198,0
2017,269817.1835,0
2018,296335.8248,0
2019,267737.0126,0
2020,295571.6804,0.005410866
2021,294449.0485,0.005575651
2022,286552.8896,0.005745455
2023,293265.0963,0.00592043
2024,283123.6736,0.006100734
2025,290477.3843,0.006286529
2026,278262.8661,0.006477983
2027,270248.7836,0.006675267
2028,280451.5266,0.006878559
2029,309729.5783,0.007088042
2030,257581.439,0.007303905
2031,317793.1886,0.007526342
2032,277446.8353,0.007755553
2033,306948.9417,0.007991745
2034,316566.784,0.00823513
2035,252310.2576,0.008485927
2036,276687.4078,0.008744362
2037,257369.1767,0.009010668
2038,310076.2734,0.009285083
2039,278769.9372,0.009567856
2040,315988.9588,0.009859241
2041,291977.3715,0.010159499
2042,309783.8231,0.010468902
2043,295234.4191,0.010787728
2044,245937.6706,0.011116263
2045,253904.5836,0.011454803
2046,244456.5512,0.011803654
2047,247522.5627,0.012163129
2048,298564.5794,0.012533551
2049,281970.3815,0.012915255
2050,245583.9,0.013308583